rosbagTimestamp,seq,secs,nsecs,xl,yl,zl,normality
1.57E+18,179,1574069817,659696176,-0.143430035,0.192426155,0,1
1.57E+18,180,1574069817,865550122,-0.155382538,0.208461668,0,1
1.57E+18,181,1574069818,104938770,-0.137453784,0.184408398,0,1
1.57E+18,182,1574069818,365631278,-0.089643772,0.120266347,0,1
1.57E+18,183,1574069818,625250495,-0.256978813,0.344763527,0,1
1.57E+18,184,1574069818,873340310,-0.04183376,0.056124295,0,1
1.57E+18,185,1574069819,114722722,-0.071715018,0.096213077,0,1
1.57E+18,186,1574069819,346638722,-0.089643772,0.120266347,0,1
1.57E+18,187,1574069819,590613147,-0.137453784,0.184408398,0,1
1.57E+18,188,1574069819,865741991,-0.029881257,0.040088782,0,1
1.57E+18,189,1574069820,65223180,-0.095620024,0.128284103,0,1
1.57E+18,190,1574069820,329837434,-0.083667521,0.11224859,0,1
1.57E+18,191,1574069820,574356051,-0.191240047,0.256568206,0,1
1.57E+18,192,1574069820,812592763,-0.185263796,0.24855045,0,1
1.57E+18,193,1574069821,51706969,-0.20319255,0.272603719,0,1
1.57E+18,194,1574069821,295250515,-0.352598837,0.47304763,0,1
1.57E+18,195,1574069821,535376977,-0.274907568,0.368816796,0,1
1.57E+18,196,1574069821,771080456,-0.280883819,0.376834553,0,1
1.57E+18,197,1574069822,91474015,-0.131477532,0.176390642,0,1
1.57E+18,198,1574069822,356544869,-0.209168801,0.280621475,0,1
1.57E+18,199,1574069822,537068077,-0.083667521,0.11224859,0,1
1.57E+18,200,1574069822,791135261,-0.125501281,0.168372885,0,1
1.57E+18,201,1574069823,22498809,-0.125501281,0.168372885,0,1
1.57E+18,202,1574069823,295346959,-0.119525029,0.160355129,0,1
1.57E+18,203,1574069823,509710831,-0.065738766,0.088195321,0,1
1.57E+18,204,1574069823,747410120,-0.053786263,0.072159808,0,1
1.57E+18,205,1574069823,989811959,-0.137453784,0.184408398,0,1
1.57E+18,206,1574069824,246463954,-0.20319255,0.272603719,0,1
1.57E+18,207,1574069824,532252711,-0.173311293,0.232514937,0,1
1.57E+18,208,1574069824,704721692,-0.149406287,0.200443911,0,1
1.57E+18,209,1574069824,952643425,-0.197216299,0.264585963,0,1
1.57E+18,210,1574069825,205327609,-0.215145053,0.288639232,0,1
1.57E+18,211,1574069825,444065860,-0.143430035,0.192426155,0,1
1.57E+18,212,1574069825,684559110,-0.573720141,0.769704618,0,1
1.57E+18,213,1574069825,925425719,-0.047810012,0.064142052,0,1
1.57E+18,214,1574069826,166446603,-0.268931316,0.36079904,0,1
1.57E+18,215,1574069826,429977023,-0.24502631,0.328728014,0,1
1.57E+18,216,1574069826,662821140,-0.131477532,0.176390642,0,1
1.57E+18,217,1574069826,904070702,-0.16135879,0.216479424,0,1
1.57E+18,218,1574069827,144176727,-0.460171363,0.617367246,0,1
1.57E+18,219,1574069827,388566350,-0.077691269,0.104230834,0,1
1.57E+18,220,1574069827,625070797,-0.101596275,0.13630186,0,1
1.57E+18,221,1574069827,863586351,-0.155382538,0.208461668,0,1
1.57E+18,222,1574069828,110349288,-0.239050059,0.320710258,0,1
1.57E+18,223,1574069828,351842033,-0.149406287,0.200443911,0,1
1.57E+18,224,1574069828,614574152,-0.119525029,0.160355129,0,1
1.57E+18,225,1574069828,849179347,-0.209168801,0.280621475,0,1
1.57E+18,226,1574069829,72583252,-0.316741328,0.424941091,0,1
1.57E+18,227,1574069829,317171931,-0.310765076,0.416923335,0,1
1.57E+18,228,1574069829,544033520,-0.352598837,0.47304763,0,1
1.57E+18,229,1574069829,792110575,-0.095620024,0.128284103,0,1
1.57E+18,230,1574069830,38719633,-0.251002562,0.336745771,0,1
1.57E+18,231,1574069830,290654519,-0.268931316,0.36079904,0,1
1.57E+18,232,1574069830,529285351,-0.131477532,0.176390642,0,1
1.57E+18,233,1574069830,791330648,-0.292836322,0.392870066,0,1
1.57E+18,234,1574069831,24004873,-0.071715018,0.096213077,0,1
1.57E+18,235,1574069831,263407758,-0.065738766,0.088195321,0,1
1.57E+18,236,1574069831,532676266,-0.155382538,0.208461668,0,1
1.57E+18,237,1574069831,791582042,-0.107572526,0.144319616,0,1
1.57E+18,238,1574069832,7529858,-0.221121304,0.296656988,0,1
1.57E+18,239,1574069832,254306559,-0.113548778,0.152337372,0,1
1.57E+18,240,1574069832,485223963,-0.035857509,0.048106539,0,1
1.57E+18,241,1574069832,729287177,-0.083667521,0.11224859,0,1
1.57E+18,242,1574069832,989707035,-0.053786263,0.072159808,0,1
1.57E+18,243,1574069833,224778263,-0.035857509,0.048106539,0,1
1.57E+18,244,1574069833,467668990,-0.20319255,0.272603719,0,1
1.57E+18,245,1574069833,729857033,-0.047810012,0.064142052,0,1
1.57E+18,246,1574069833,985214824,-0.185263796,0.24855045,0,1
1.57E+18,247,1574069834,232573178,-0.053786263,0.072159808,0,1
1.57E+18,248,1574069834,455194523,-0.071715018,0.096213077,0,1
1.57E+18,249,1574069834,683787788,-0.017928754,0.024053269,0,1
1.57E+18,250,1574069834,928826088,0,0,0,1
1.57E+18,251,1574069835,186850492,-0.065738766,0.088195321,0,1
1.57E+18,252,1574069835,431864031,-0.005976251,0.008017756,0,1
1.57E+18,253,1574069835,664744907,-0.137453784,0.184408398,0,1
1.57E+18,254,1574069835,907317954,-0.089643772,0.120266347,0,1
1.57E+18,255,1574069836,150878678,-0.059762515,0.080177564,0,1
1.57E+18,256,1574069836,389537337,-0.197216299,0.264585963,0,1
1.57E+18,257,1574069836,660340253,-0.16135879,0.216479424,0,1
1.57E+18,258,1574069836,864776227,-0.137453784,0.184408398,0,1
1.57E+18,259,1574069837,105582842,-0.077691269,0.104230834,0,1
1.57E+18,260,1574069837,354243031,-0.089643772,0.120266347,0,1
1.57E+18,261,1574069837,591173339,-0.071715018,0.096213077,0,1
1.57E+18,262,1574069837,830290183,-0.101596275,0.13630186,0,1
1.57E+18,263,1574069838,62194160,-0.089643772,0.120266347,0,1
1.57E+18,264,1574069838,308674932,-0.029881257,0.040088782,0,1
1.57E+18,265,1574069838,551727501,-0.017928754,0.024053269,0,1
1.57E+18,266,1574069838,784384114,-0.011952503,0.016035513,0,1
1.57E+18,267,1574069839,30960962,-0.155382538,0.208461668,0,1
1.57E+18,268,1574069839,266731168,-0.131477532,0.176390642,0,1
1.57E+18,269,1574069839,504223153,-0.023905006,0.032071026,0,1
1.57E+18,270,1574069839,767250747,-0.04183376,0.056124295,0,1
1.57E+18,271,1574069839,994706123,-0.035857509,0.048106539,0,1
1.57E+18,272,1574069840,229057445,-0.047810012,0.064142052,0,1
1.57E+18,273,1574069840,489003080,-0.059762515,0.080177564,0,1
1.57E+18,274,1574069840,714706489,-0.119525029,0.160355129,0,1
1.57E+18,275,1574069840,960974947,-0.101596275,0.13630186,0,1
1.57E+18,276,1574069841,214814103,-0.083667521,0.11224859,0,1
